ID_Adherent,Entreprise,Secteur,Filière_CFCIM,Région,Taille,CA_Estimé_MDH,Score_Engagement,Score_Calculé,score_events,score_email,score_services,score_digital,score_dynamique,Segment,Nb_Participations_12m,Nb_Services_Distincts,Email_Optin,App_MyCFCIM,Date_Calcul
ADH-0001,Vision Consulting,BTP & Immobilier,Agrotech,Oriental,ETI (51-250),105.8,45,33,67,0,18,60,0,À risque,2,2,Non,Oui,2026-04-21
ADH-0002,Nova Construction,BTP & Immobilier,Tech & Services,Casablanca-Settat,TPE (1-10),1.5,58,24,33,0,27,60,0,À risque,1,3,Non,Oui,2026-04-21
ADH-0003,Neo Pharma,Industrie manufacturière,Industrie & Infrastructures,Souss-Massa,PME (11-50),25.2,12,47,67,1,9,100,100,Modéré,2,1,Oui,Oui,2026-04-21
ADH-0004,Neo Construction,Énergie & Environnement,Tech & Services,Casablanca-Settat,Grande Entreprise (250+),1927.3,58,37,33,20,36,100,0,À risque,1,4,Oui,Oui,2026-04-21
ADH-0005,Africa Consulting,Énergie & Environnement,Art de vivre & Santé,Casablanca-Settat,TPE (1-10),1.7,34,51,100,11,9,40,100,Modéré,3,1,Oui,Non,2026-04-21
ADH-0006,Casa Development,Agroalimentaire,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),32.8,25,53,100,0,18,60,100,Modéré,3,2,Non,Oui,2026-04-21
ADH-0007,Neo Solutions,BTP & Immobilier,Agrotech,Casablanca-Settat,PME (11-50),49.3,48,33,67,15,18,40,0,À risque,2,2,Oui,Non,2026-04-21
ADH-0008,Tanger Foods,Finance & Assurance,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),21.7,20,39,33,10,9,100,100,À risque,1,1,Oui,Oui,2026-04-21
ADH-0009,Optima Pharma,Automobile,Agrotech,Fès-Meknès,TPE (1-10),1.2,12,30,33,10,9,40,100,À risque,1,1,Oui,Non,2026-04-21
ADH-0010,Souss Invest,Énergie & Environnement,Tech & Services,Tanger-Tétouan,TPE (1-10),0.8,39,54,100,19,18,40,100,Modéré,3,2,Oui,Non,2026-04-21
ADH-0011,Tanger Solutions,IT & Digital,Tech & Services,Casablanca-Settat,TPE (1-10),1.5,15,8,0,1,9,40,0,Dormant,0,1,Oui,Non,2026-04-21
ADH-0012,Royal Logistics,Automobile,Cleantech,Dakhla-Oued Eddahab,ETI (51-250),184.7,80,39,100,0,45,0,0,À risque,2,5,Non,Non,2026-04-21
ADH-0013,Méditerranée Engineering,Automobile,Agrotech,Casablanca-Settat,ETI (51-250),238.9,7,37,33,0,9,100,100,À risque,1,1,Oui,Oui,2026-04-21
ADH-0014,Pro Construction,Tourisme & Hôtellerie,Agrotech,Casablanca-Settat,PME (11-50),31.8,69,37,100,0,36,0,0,À risque,4,4,Non,Non,2026-04-21
ADH-0015,Tech Industries,Finance & Assurance,Industrie & Infrastructures,Souss-Massa,TPE (1-10),3.9,64,50,100,29,36,40,0,Modéré,4,4,Oui,Non,2026-04-21
ADH-0016,Global International,Logistique & Transport,Tech & Services,Casablanca-Settat,PME (11-50),44.4,91,50,100,0,55,60,0,Modéré,6,6,Non,Oui,2026-04-21
ADH-0017,Green Consulting,Éducation & Formation,Tech & Services,Casablanca-Settat,Grande Entreprise (250+),1163,70,49,100,32,27,40,0,Modéré,5,3,Oui,Non,2026-04-21
ADH-0018,Sahara Finance,Distribution & Retail,Art de vivre & Santé,Oriental,Grande Entreprise (250+),1318.2,5,38,33,5,9,100,100,À risque,1,1,Oui,Oui,2026-04-21
ADH-0019,Méditerranée Tech,IT & Digital,Tech & Services,Oriental,TPE (1-10),4.8,81,61,100,35,36,100,0,Actif engagé,3,4,Oui,Oui,2026-04-21
ADH-0020,Tech Services,Automobile,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),12.4,65,49,100,22,36,40,0,Modéré,5,4,Oui,Non,2026-04-21
ADH-0021,First Export,IT & Digital,Agrotech,Casablanca-Settat,ETI (51-250),298.8,55,53,100,21,36,40,50,Modéré,3,4,Oui,Non,2026-04-21
ADH-0022,Prime Consulting,IT & Digital,Agrotech,Casablanca-Settat,PME (11-50),5.9,66,44,100,0,27,60,0,Modéré,4,3,Non,Oui,2026-04-21
ADH-0023,Atlas Solutions,Industrie manufacturière,Industrie & Infrastructures,Fès-Meknès,TPE (1-10),0.8,44,62,100,13,18,100,100,Actif engagé,6,2,Oui,Oui,2026-04-21
ADH-0024,Green Engineering,Conseil & Services,Cleantech,Marrakech-Safi,TPE (1-10),2.9,43,55,100,15,27,40,100,Modéré,4,3,Oui,Non,2026-04-21
ADH-0025,Global Trading,Agroalimentaire,Industrie & Infrastructures,Fès-Meknès,ETI (51-250),138.6,72,65,100,25,45,100,50,Actif engagé,4,5,Oui,Oui,2026-04-21
ADH-0026,Pro Pharma,Finance & Assurance,Art de vivre & Santé,Marrakech-Safi,TPE (1-10),3.8,70,38,33,30,27,100,0,À risque,1,3,Oui,Oui,2026-04-21
ADH-0027,Rif Finance,Logistique & Transport,Agrotech,Casablanca-Settat,ETI (51-250),119.6,56,27,33,24,27,40,0,À risque,1,3,Oui,Non,2026-04-21
ADH-0028,Tech Consulting,BTP & Immobilier,Tech & Services,Casablanca-Settat,TPE (1-10),4.9,30,42,67,15,9,40,100,Modéré,2,1,Oui,Non,2026-04-21
ADH-0029,Smart Energy,IT & Digital,Agrotech,Casablanca-Settat,ETI (51-250),91.2,16,15,0,9,9,40,50,Dormant,0,1,Oui,Non,2026-04-21
ADH-0030,Prime Tech,Textile & Mode,Tech & Services,Souss-Massa,PME (11-50),34.8,65,64,100,25,36,100,50,Actif engagé,6,4,Oui,Oui,2026-04-21
ADH-0031,Euro Trading,BTP & Immobilier,Industrie & Infrastructures,Marrakech-Safi,ETI (51-250),65.2,22,60,100,4,18,100,100,Actif engagé,5,2,Oui,Oui,2026-04-21
ADH-0032,Nova Energy,Santé & Pharma,Tech & Services,Marrakech-Safi,PME (11-50),7.6,20,40,33,11,9,100,100,Modéré,1,1,Oui,Oui,2026-04-21
ADH-0033,Optima Solutions,Finance & Assurance,Tech & Services,Rabat-Salé-Kénitra,TPE (1-10),1,27,42,100,0,9,0,100,Modéré,3,1,Non,Non,2026-04-21
ADH-0034,Maghreb Agri,Agroalimentaire,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),30.4,82,62,100,31,45,100,0,Actif engagé,7,5,Oui,Oui,2026-04-21
ADH-0035,Pro Export,Énergie & Environnement,Agrotech,Rabat-Salé-Kénitra,Grande Entreprise (250+),522.5,70,49,100,24,36,40,0,Modéré,3,4,Oui,Non,2026-04-21
ADH-0036,Maroc Industries,Logistique & Transport,Industrie & Infrastructures,Rabat-Salé-Kénitra,ETI (51-250),68.3,8,22,33,0,9,0,100,À risque,1,1,Non,Non,2026-04-21
ADH-0037,Royal Partners,Télécoms,Industrie & Infrastructures,Casablanca-Settat,TPE (1-10),2.2,60,47,100,24,27,40,0,Modéré,6,3,Oui,Non,2026-04-21
ADH-0038,Neo Tech,Tourisme & Hôtellerie,Industrie & Infrastructures,Oriental,ETI (51-250),52,31,36,33,10,18,100,50,À risque,1,2,Oui,Oui,2026-04-21
ADH-0039,Tanger Consulting,Télécoms,Tech & Services,Souss-Massa,ETI (51-250),88.9,80,48,100,0,45,60,0,Modéré,3,5,Non,Oui,2026-04-21
ADH-0040,Neo Capital,IT & Digital,Industrie & Infrastructures,Souss-Massa,PME (11-50),27.7,46,64,100,15,27,100,100,Actif engagé,4,3,Oui,Oui,2026-04-21
ADH-0041,Vision Construction,Éducation & Formation,Art de vivre & Santé,Souss-Massa,PME (11-50),20,45,63,100,18,18,100,100,Actif engagé,3,2,Oui,Oui,2026-04-21
ADH-0042,First Foods,Santé & Pharma,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),5.4,65,47,100,21,27,40,0,Modéré,5,3,Oui,Non,2026-04-21
ADH-0043,Maghreb Partners,Tourisme & Hôtellerie,Art de vivre & Santé,Souss-Massa,TPE (1-10),1.1,18,31,0,10,18,100,100,À risque,0,2,Oui,Oui,2026-04-21
ADH-0044,Méditerranée Trading,Finance & Assurance,Tech & Services,Rabat-Salé-Kénitra,TPE (1-10),2.1,51,49,100,0,27,60,50,Modéré,4,3,Non,Oui,2026-04-21
ADH-0045,Souss International,Distribution & Retail,Industrie & Infrastructures,Casablanca-Settat,Grande Entreprise (250+),342.1,28,40,33,7,18,100,100,Modéré,1,2,Oui,Oui,2026-04-21
ADH-0046,Tanger International,Distribution & Retail,Agrotech,Rabat-Salé-Kénitra,ETI (51-250),268,54,67,100,19,36,100,100,Actif engagé,4,4,Oui,Oui,2026-04-21
ADH-0047,Prime Partners,Conseil & Services,Agrotech,Dakhla-Oued Eddahab,Grande Entreprise (250+),679,22,39,67,5,9,40,100,À risque,2,1,Oui,Non,2026-04-21
ADH-0048,Tanger Partners,Finance & Assurance,Industrie & Infrastructures,Rabat-Salé-Kénitra,PME (11-50),19.9,22,25,33,10,9,40,50,À risque,1,1,Oui,Non,2026-04-21
ADH-0049,Sahara Transport,Conseil & Services,Agrotech,Casablanca-Settat,PME (11-50),24.6,83,54,100,37,45,40,0,Modéré,5,5,Oui,Non,2026-04-21
ADH-0050,Africa Transport,IT & Digital,Tech & Services,Casablanca-Settat,TPE (1-10),2.5,90,55,100,39,45,40,0,Modéré,9,5,Oui,Non,2026-04-21
ADH-0051,Maroc Invest,Télécoms,Cleantech,Casablanca-Settat,TPE (1-10),3.5,65,48,100,24,27,40,0,Modéré,5,3,Oui,Non,2026-04-21
ADH-0052,Euro Invest,Textile & Mode,Tech & Services,Béni Mellal-Khénifra,TPE (1-10),1.8,89,52,100,34,36,40,0,Modéré,5,4,Oui,Non,2026-04-21
ADH-0053,Pro Development,Finance & Assurance,Tech & Services,Marrakech-Safi,TPE (1-10),3.3,41,25,33,16,27,40,0,À risque,1,3,Oui,Non,2026-04-21
ADH-0054,Atlas Tech,Conseil & Services,Art de vivre & Santé,Casablanca-Settat,PME (11-50),31.1,95,57,100,40,55,40,0,Modéré,3,6,Oui,Non,2026-04-21
ADH-0055,Prime Invest,IT & Digital,Tech & Services,Rabat-Salé-Kénitra,TPE (1-10),3.5,10,32,67,0,9,0,100,À risque,2,1,Non,Non,2026-04-21
ADH-0056,Franco Solutions,Éducation & Formation,Art de vivre & Santé,Casablanca-Settat,TPE (1-10),1.9,36,63,100,17,18,100,100,Actif engagé,4,2,Oui,Oui,2026-04-21
ADH-0057,Maghreb Engineering,Logistique & Transport,Industrie & Infrastructures,Tanger-Tétouan,ETI (51-250),163.9,7,14,0,4,9,40,50,Dormant,0,1,Oui,Non,2026-04-21
ADH-0058,Africa Engineering,Automobile,Industrie & Infrastructures,Rabat-Salé-Kénitra,TPE (1-10),4.5,30,50,67,12,9,100,100,Modéré,2,1,Oui,Oui,2026-04-21
ADH-0059,Sahara Export,Santé & Pharma,Tech & Services,Casablanca-Settat,ETI (51-250),112.3,80,61,100,36,36,100,0,Actif engagé,5,4,Oui,Oui,2026-04-21
ADH-0060,Green Finance,Tourisme & Hôtellerie,Agrotech,Oriental,TPE (1-10),4.5,93,41,100,0,55,0,0,Modéré,3,6,Non,Non,2026-04-21
ADH-0061,Sahara Import,Éducation & Formation,Agrotech,Casablanca-Settat,Grande Entreprise (250+),1578,61,37,100,0,36,0,0,À risque,4,4,Non,Non,2026-04-21
ADH-0062,Vision Engineering,Conseil & Services,Art de vivre & Santé,Casablanca-Settat,ETI (51-250),121.4,90,26,0,37,55,40,0,À risque,0,6,Oui,Non,2026-04-21
ADH-0063,Tech Solutions,Automobile,Art de vivre & Santé,Rabat-Salé-Kénitra,PME (11-50),36.2,69,49,100,30,27,40,0,Modéré,3,3,Oui,Non,2026-04-21
ADH-0064,Global Capital,Santé & Pharma,Industrie & Infrastructures,Casablanca-Settat,Grande Entreprise (250+),651.6,48,50,100,15,27,40,50,Modéré,5,3,Oui,Non,2026-04-21
ADH-0065,Neo Industries,Éducation & Formation,Cleantech,Tanger-Tétouan,PME (11-50),26.5,27,33,50,13,18,40,50,À risque,1,2,Oui,Non,2026-04-21
ADH-0066,Global Finance,Industrie manufacturière,Agrotech,Marrakech-Safi,Grande Entreprise (250+),1826.3,68,40,67,27,36,40,0,Modéré,2,4,Oui,Non,2026-04-21
ADH-0067,Global Energy,BTP & Immobilier,Cleantech,Marrakech-Safi,PME (11-50),35.6,87,54,100,36,45,40,0,Modéré,4,5,Oui,Non,2026-04-21
ADH-0068,Royal Agri,Santé & Pharma,Industrie & Infrastructures,Casablanca-Settat,Grande Entreprise (250+),1306.2,70,47,100,24,27,40,0,Modéré,3,3,Oui,Non,2026-04-21
ADH-0069,Royal Foods,Automobile,Tech & Services,Casablanca-Settat,TPE (1-10),2,69,49,100,24,36,40,0,Modéré,7,4,Oui,Non,2026-04-21
ADH-0070,Africa Logistics,Distribution & Retail,Tech & Services,Casablanca-Settat,TPE (1-10),4.3,23,12,0,8,18,40,0,Dormant,0,2,Oui,Non,2026-04-21
ADH-0071,Souss Pharma,Agroalimentaire,Tech & Services,Marrakech-Safi,ETI (51-250),60.1,35,61,100,15,9,100,100,Actif engagé,6,1,Oui,Oui,2026-04-21
ADH-0072,Atlas Agri,Automobile,Industrie & Infrastructures,Marrakech-Safi,TPE (1-10),3.5,75,51,100,32,36,40,0,Modéré,3,4,Oui,Non,2026-04-21
ADH-0073,Méditerranée International,Tourisme & Hôtellerie,Agrotech,Marrakech-Safi,PME (11-50),40,8,38,33,5,9,100,100,À risque,1,1,Oui,Oui,2026-04-21
ADH-0074,Nova Industries,Télécoms,Art de vivre & Santé,Tanger-Tétouan,PME (11-50),45.9,88,64,100,40,45,100,0,Actif engagé,6,5,Oui,Oui,2026-04-21
ADH-0075,Maroc Transport,Industrie manufacturière,Industrie & Infrastructures,Casablanca-Settat,TPE (1-10),1,22,13,0,0,18,60,0,Dormant,0,2,Non,Oui,2026-04-21
ADH-0076,Nova Group,Énergie & Environnement,Industrie & Infrastructures,Dakhla-Oued Eddahab,PME (11-50),8.1,16,9,0,6,9,40,0,Dormant,0,1,Oui,Non,2026-04-21
ADH-0077,Smart Consulting,Textile & Mode,Cleantech,Tanger-Tétouan,ETI (51-250),226.8,74,52,100,28,45,40,0,Modéré,4,5,Oui,Non,2026-04-21
ADH-0078,Vision Logistics,Tourisme & Hôtellerie,Tech & Services,Tanger-Tétouan,PME (11-50),39.9,32,52,100,8,18,40,100,Modéré,3,2,Oui,Non,2026-04-21
ADH-0079,Tanger Capital,Éducation & Formation,Industrie & Infrastructures,Marrakech-Safi,TPE (1-10),1.8,50,50,100,16,27,40,50,Modéré,3,3,Oui,Non,2026-04-21
ADH-0080,Nova Agri,Finance & Assurance,Industrie & Infrastructures,Tanger-Tétouan,TPE (1-10),2.7,46,56,100,19,27,40,100,Modéré,4,3,Oui,Non,2026-04-21
ADH-0081,Rif Partners,Distribution & Retail,Cleantech,Oriental,Grande Entreprise (250+),1796.5,62,46,100,0,36,60,0,Modéré,2,4,Non,Oui,2026-04-21
ADH-0082,Green Trading,Agroalimentaire,Agrotech,Casablanca-Settat,Grande Entreprise (250+),1130.6,71,40,67,32,27,40,0,Modéré,2,3,Oui,Non,2026-04-21
ADH-0083,Prime Industries,Agroalimentaire,Agrotech,Dakhla-Oued Eddahab,Grande Entreprise (250+),1476,70,37,100,0,36,0,0,À risque,3,4,Non,Non,2026-04-21
ADH-0084,Smart Finance,Santé & Pharma,Art de vivre & Santé,Casablanca-Settat,PME (11-50),29.8,92,55,100,34,55,40,0,Modéré,4,6,Oui,Non,2026-04-21
ADH-0085,Euro Logistics,IT & Digital,Art de vivre & Santé,Casablanca-Settat,TPE (1-10),1.9,57,46,67,22,27,100,0,Modéré,2,3,Oui,Oui,2026-04-21
ADH-0086,First Energy,Conseil & Services,Tech & Services,Oriental,ETI (51-250),199.2,63,48,100,27,27,40,0,Modéré,4,3,Oui,Non,2026-04-21
ADH-0087,Souss Partners,Automobile,Tech & Services,Casablanca-Settat,PME (11-50),29,90,66,100,39,55,100,0,Actif engagé,6,6,Oui,Oui,2026-04-21
ADH-0088,Tech Tech,Industrie manufacturière,Cleantech,Casablanca-Settat,PME (11-50),27.1,93,39,100,0,45,0,0,À risque,7,5,Non,Non,2026-04-21
ADH-0089,Prime Capital,Automobile,Art de vivre & Santé,Marrakech-Safi,ETI (51-250),78.5,75,52,100,34,36,40,0,Modéré,4,4,Oui,Non,2026-04-21
ADH-0090,Vision Invest,BTP & Immobilier,Tech & Services,Casablanca-Settat,TPE (1-10),4.8,81,61,100,33,36,100,0,Actif engagé,4,4,Oui,Oui,2026-04-21
ADH-0091,Tech Construction,Tourisme & Hôtellerie,Art de vivre & Santé,Fès-Meknès,ETI (51-250),106.4,24,43,67,14,18,40,100,Modéré,2,2,Oui,Non,2026-04-21
ADH-0092,Euro Transport,Textile & Mode,Cleantech,Rabat-Salé-Kénitra,PME (11-50),7.7,84,45,50,31,36,100,0,Modéré,1,4,Oui,Oui,2026-04-21
ADH-0093,Tanger Invest,Agroalimentaire,Art de vivre & Santé,Tanger-Tétouan,ETI (51-250),188,56,51,100,20,27,40,50,Modéré,3,3,Oui,Non,2026-04-21
ADH-0094,Prime Export,Tourisme & Hôtellerie,Art de vivre & Santé,Souss-Massa,PME (11-50),15.4,47,49,67,14,27,100,50,Modéré,2,3,Oui,Oui,2026-04-21
ADH-0095,Pro Engineering,Télécoms,Agrotech,Casablanca-Settat,PME (11-50),33.1,95,65,100,43,45,100,0,Actif engagé,4,5,Oui,Oui,2026-04-21
ADH-0096,Tech Engineering,Finance & Assurance,Industrie & Infrastructures,Rabat-Salé-Kénitra,PME (11-50),42.2,62,62,100,27,27,100,50,Actif engagé,4,3,Oui,Oui,2026-04-21
ADH-0097,Euro Agri,Industrie manufacturière,Agrotech,Tanger-Tétouan,TPE (1-10),2.5,24,52,100,11,18,40,100,Modéré,4,2,Oui,Non,2026-04-21
ADH-0098,Tanger Digital,Santé & Pharma,Industrie & Infrastructures,Fès-Meknès,PME (11-50),31.9,50,37,67,22,27,40,0,À risque,2,3,Oui,Non,2026-04-21
ADH-0099,Tanger Industries,Agroalimentaire,Industrie & Infrastructures,Rabat-Salé-Kénitra,ETI (51-250),259,88,53,100,39,36,40,0,Modéré,3,4,Oui,Non,2026-04-21
ADH-0100,Maghreb International,Logistique & Transport,Industrie & Infrastructures,Tanger-Tétouan,TPE (1-10),4.6,19,12,33,0,9,0,0,Dormant,1,1,Non,Non,2026-04-21
ADH-0101,Vision Energy,Agroalimentaire,Industrie & Infrastructures,Rabat-Salé-Kénitra,PME (11-50),20,71,47,100,24,27,40,0,Modéré,4,3,Oui,Non,2026-04-21
ADH-0102,Global Export,Logistique & Transport,Tech & Services,Marrakech-Safi,Grande Entreprise (250+),1683.1,70,48,67,32,27,100,0,Modéré,2,3,Oui,Oui,2026-04-21
ADH-0103,Franco Logistics,Énergie & Environnement,Tech & Services,Casablanca-Settat,ETI (51-250),266.2,70,35,100,0,27,0,0,À risque,4,3,Non,Non,2026-04-21
ADH-0104,Global Group,IT & Digital,Industrie & Infrastructures,Rabat-Salé-Kénitra,TPE (1-10),3.9,24,50,67,6,18,100,100,Modéré,2,2,Oui,Oui,2026-04-21
ADH-0105,Tanger Finance,Automobile,Industrie & Infrastructures,Dakhla-Oued Eddahab,ETI (51-250),171.2,89,46,100,0,36,60,0,Modéré,3,4,Non,Oui,2026-04-21
ADH-0106,Neo International,Conseil & Services,Tech & Services,Rabat-Salé-Kénitra,TPE (1-10),2.3,22,10,0,7,9,40,0,Dormant,0,1,Oui,Non,2026-04-21
ADH-0107,Casa Pharma,Éducation & Formation,Industrie & Infrastructures,Casablanca-Settat,PME (11-50),18.1,90,55,100,34,55,40,0,Modéré,7,6,Oui,Non,2026-04-21
ADH-0108,Smart Engineering,Logistique & Transport,Art de vivre & Santé,Tanger-Tétouan,TPE (1-10),1.4,17,50,100,7,9,40,100,Modéré,3,1,Oui,Non,2026-04-21
ADH-0109,Green Logistics,Éducation & Formation,Cleantech,Marrakech-Safi,PME (11-50),18.4,91,55,100,32,55,40,0,Modéré,2,6,Oui,Non,2026-04-21
ADH-0110,Tech Energy,Énergie & Environnement,Tech & Services,Rabat-Salé-Kénitra,TPE (1-10),2.9,93,64,100,33,55,100,0,Actif engagé,3,6,Oui,Oui,2026-04-21
ADH-0111,Neo Engineering,Tourisme & Hôtellerie,Agrotech,Marrakech-Safi,TPE (1-10),2.3,94,57,100,39,55,40,0,Modéré,3,6,Oui,Non,2026-04-21
ADH-0112,Africa Invest,Distribution & Retail,Industrie & Infrastructures,Casablanca-Settat,TPE (1-10),2.7,19,9,0,5,9,40,0,Dormant,0,1,Oui,Non,2026-04-21
ADH-0113,Nova Capital,Éducation & Formation,Art de vivre & Santé,Marrakech-Safi,PME (11-50),9.5,73,60,100,25,45,100,0,Actif engagé,4,5,Oui,Oui,2026-04-21
ADH-0114,Global Pharma,Automobile,Industrie & Infrastructures,Rabat-Salé-Kénitra,PME (11-50),48.6,95,41,100,0,55,0,0,Modéré,8,6,Non,Non,2026-04-21
ADH-0115,Vision Solutions,Éducation & Formation,Industrie & Infrastructures,Rabat-Salé-Kénitra,PME (11-50),43.7,88,55,100,39,45,40,0,Modéré,6,5,Oui,Non,2026-04-21
ADH-0116,Tech Group,Tourisme & Hôtellerie,Tech & Services,Tanger-Tétouan,TPE (1-10),3.6,85,63,100,34,45,100,0,Actif engagé,9,5,Oui,Oui,2026-04-21
ADH-0117,Global Consulting,Distribution & Retail,Agrotech,Tanger-Tétouan,PME (11-50),25,36,64,100,15,27,100,100,Actif engagé,4,3,Oui,Oui,2026-04-21
ADH-0118,Franco Group,Conseil & Services,Art de vivre & Santé,Tanger-Tétouan,TPE (1-10),1.2,72,48,100,0,45,60,0,Modéré,4,5,Non,Oui,2026-04-21
ADH-0119,Sahara International,Agroalimentaire,Industrie & Infrastructures,Tanger-Tétouan,TPE (1-10),3.3,17,30,33,9,9,40,100,À risque,1,1,Oui,Non,2026-04-21
ADH-0120,Royal Engineering,Logistique & Transport,Tech & Services,Oriental,PME (11-50),16.5,59,26,33,19,27,40,0,À risque,1,3,Oui,Non,2026-04-21
ADH-0121,Pro Finance,Automobile,Agrotech,Tanger-Tétouan,PME (11-50),49.4,67,51,100,30,36,40,0,Modéré,4,4,Oui,Non,2026-04-21
ADH-0122,Rif Development,Éducation & Formation,Tech & Services,Oriental,PME (11-50),22.2,60,37,100,0,36,0,0,À risque,3,4,Non,Non,2026-04-21
ADH-0123,Atlas Invest,Textile & Mode,Cleantech,Souss-Massa,TPE (1-10),4.4,81,37,100,0,36,0,0,À risque,6,4,Non,Non,2026-04-21
